"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 14:16:55 CEST 2022","Mon Aug 08 14:16:56 CEST 2022","1406","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Mon Aug 08 14:17:32 CEST 2022","Mon Aug 08 14:17:32 CEST 2022","155","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Mon Aug 08 14:16:42 CEST 2022","Mon Aug 08 14:16:42 CEST 2022","152","","Location","","","","cy.location() - get window.location",""
"passed","Mon Aug 08 14:15:42 CEST 2022","Mon Aug 08 14:15:43 CEST 2022","1046","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Mon Aug 08 14:17:47 CEST 2022","Mon Aug 08 14:17:50 CEST 2022","3204","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Mon Aug 08 14:20:57 CEST 2022","Mon Aug 08 14:21:29 CEST 2022","31966","e-shop go to","Adding items to a cart from json file","","","","Should add 2 products from json file to a cart",""
"passed","Mon Aug 08 14:16:57 CEST 2022","Mon Aug 08 14:16:58 CEST 2022","568","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Mon Aug 08 14:16:16 CEST 2022","Mon Aug 08 14:16:16 CEST 2022","279","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Mon Aug 08 14:15:41 CEST 2022","Mon Aug 08 14:15:42 CEST 2022","1029","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Mon Aug 08 14:17:05 CEST 2022","Mon Aug 08 14:17:06 CEST 2022","872","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Mon Aug 08 14:15:26 CEST 2022","Mon Aug 08 14:15:27 CEST 2022","337","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Aug 08 14:16:10 CEST 2022","Mon Aug 08 14:16:11 CEST 2022","204","Connectors",".then()","","","","yields the original subject without return",""
"passed","Mon Aug 08 14:17:32 CEST 2022","Mon Aug 08 14:17:32 CEST 2022","161","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Mon Aug 08 14:15:41 CEST 2022","Mon Aug 08 14:15:41 CEST 2022","272","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Mon Aug 08 14:15:43 CEST 2022","Mon Aug 08 14:15:44 CEST 2022","1034","","Actions","","","",".select() - select an option in a <select> element",""
